a52dec 0.8.0-2
libwacom 2.8.0-1
libwbclient 4.19.1-1
libwebp 1.3.2-1
libwireplumber 0.4.15-1
libwnck3 43.0-3
libwpe 1.14.1-2
libx11 1.8.7-1
libxau 1.0.11-2
libxcb 1.16-1
libxcomposite 0.4.6-1
libxcrypt 4.4.36-1
libxcursor 1.2.1-3
libxcvt 0.1.2-1
libxdamage 1.1.6-1
libxdmcp 1.1.4-2
libxext 1.3.5-1
libxfixes 6.0.1-1
libxfont2 2.0.6-2
libxft 2.3.8-1
libxi 1.8.1-1
libxinerama 1.1.5-1
libxkbcommon 1.6.0-1
libxkbcommon-x11 1.6.0-1
libxkbfile 1.1.2-1
libxklavier 5.4-5
libxml2 2.11.5-1
libxmlb 0.3.14-1
libxmu 1.1.4-1
libxpm 3.5.17-1
libxrandr 1.5.4-1
libxrender 0.9.11-1
libxres 1.2.2-1
libxshmfence 1.3.2-1
libxslt 1.1.38-1
libxt 1.3.0-1
libxtst 1.2.4-1
libxv 1.0.12-1
libxxf86vm 1.1.5-1
libyaml 0.2.5-2
libyuv r2322+3aebf69d-1
licenses 20231011-1
lilv 0.24.20-2
linux 6.5.7.arch1-1
linux-api-headers 6.4-1
linux-firmware 20230804.7be2766d-2
linux-firmware-whence 20230804.7be2766d-2
llvm-libs 16.0.6-1
lm_sensors 1:3.6.0.r41.g31d1f125-2
lmdb 0.9.30-3
loupe 45.0-1
lua 5.4.6-2
luajit 2.1.1696795921-1
lv2 1.18.10-1
lvm2 2.03.22-2
lz4 1:1.9.4-1
lzo 2.10-5
malcontent 0.11.1-2
md4c 0.4.8-1
mdadm 4.2-2
mesa 1:23.2.1-2
mjpegtools 2.2.1-2
mkinitcpio 36-1
mkinitcpio-busybox 1.36.1-1
mobile-broadband-provider-info 20230416-1
mod_dnssd 0.6-9
mpfr 4.2.1-1
mpg123 1.32.3-1
mtdev 1.1.6-2
mutter 45.0+r49+g8d3d8b86e5-1
nautilus 45.0-1
ncurses 6.4_20230520-1
neon 0.32.5-2
net-snmp 5.9.1-8
nettle 3.9.1-1
networkmanager 1.44.2-3
noto-fonts-emoji 20220920-1
npth 1.6-4
nspr 4.35-1
nss 3.94-1
ocl-icd 2.3.2-1
onevpl 2023.3.1-1
openal 1.23.1-1
opencore-amr 0.1.6-1
openexr 3.2.1-1
openjpeg2 2.5.0-3
openmpi 4.1.5-5
openpmix 4.2.6-1
openssh 9.5p1-1
openssl 3.1.3-1
opus 1.4-1
orc 0.4.34-1
orca 45.1-1
osinfo-db 20230518-1
ostree 2023.6-4
p11-kit 0.25.0-2
pacman 6.0.2-8
pacman-mirrorlist 20231001-1
pam 1.5.3-3
pambase 20230918-1
pango 1:1.51.1-1
pangomm 2.46.3-1
parted 3.6-1
pciutils 3.10.0-1
pcre 8.45-4
pcre2 10.42-2
pcsclite 2.0.0-1
perl 5.38.0-1
perl-error 0.17029-5
perl-mailtools 2.21-7
perl-timedate 2.33-5
pinentry 1.2.1-3
pipewire 1:0.3.82-1
pipewire-audio 1:0.3.82-1
pipewire-jack 1:0.3.82-1
pixman 0.42.2-1
polkit 123-1
poppler 23.10.0-1
poppler-data 0.4.12-1
poppler-glib 23.10.0-1
popt 1.19-1
portaudio 1:19.7.0-2
procps-ng 4.0.4-2
protobuf 24.3-1
psmisc 23.6-1
pulseaudio 16.1-6
pulseaudio-alsa 1:1.2.7.1-2
pulseaudio-bluetooth 16.1-6
python 3.11.5-2
python-atspi 2.46.0-2
python-cairo 1.24.0-1
python-gobject 3.46.0-1
python-pyxdg 0.28-2
python-setproctitle 1.3.3-1
qrencode 4.1.1-2
qt5-base 5.15.11+kde+r136-1
qt5-svg 5.15.11+kde+r6-1
qt5-translations 5.15.11-1
qt5-x11extras 5.15.11-1
raptor 2.0.16-3
rav1e 0.6.6-3
readline 8.2.001-2
rtkit 0.13-2
rtmpdump 1:2.4.r99.f1b83c1-2
rygel 1:0.42.4-1
sane 1.2.1-5
sbc 2.0-1
sdl2 2.28.4-1
sed 4.9-3
serd 0.30.16-1
shaderc 2023.4-2
shadow 4.14.0-4
shared-mime-info 2.3-1
simple-scan 44.0-2
slang 2.3.3-2
smbclient 4.19.1-1
snapshot 45.0-1
sord 0.16.14-1
sound-theme-freedesktop 0.8-5
soundtouch 2.3.2-1
spandsp 0.0.6-5
speech-dispatcher 0.11.5-1
speex 1.2.1-1
speexdsp 1.2.1-1
spirv-tools 2022.4-1
sqlite 3.43.2-1
sratom 0.6.14-1
srt 1.5.3-1
startup-notification 0.12-8
sudo 1.9.14.p3-1
suitesparse 7.2.1-1
sushi 45.0-1
svt-av1 1.7.0-1
svt-hevc 1.5.1-2
systemd 254.5-1
systemd-libs 254.5-1
systemd-sysvcompat 254.5-1
taglib 1.13.1-1
talloc 2.4.1-1
tar 1.35-2
tdb 1.4.9-1
tecla 45.0-1
tevent 1:0.15.0-1
thin-provisioning-tools 1.0.6-1
totem 43.0-2
totem-pl-parser 3.26.6-2
tpm2-tss 4.0.1-1
tracker3 3.6.0-1
tracker3-miners 3.6.1-1
tslib 1.22-1
twolame 0.4.0-3
tzdata 2023c-2
udisks2 2.10.1-2
unzip 6.0-20
upower 1.90.2-1
usbmuxd 1.1.1-3
util-linux 2.39.2-1
util-linux-libs 2.39.2-1
v4l-utils 1.24.1-2
vid.stab 1.1.1-1
vim 9.0.2010-1
vim-runtime 9.0.2010-1
vlc 3.0.19-1
vmaf 2.3.1-1
volume_key 0.3.12-8
vte-common 0.74.0-1
vte4 0.74.0-1
vulkan-icd-loader 1.3.263-1
wavpack 5.6.0-1
wayland 1.22.0-1
wayland-protocols 1.32-1
webkit2gtk-4.1 2.42.1-1
webkitgtk-6.0 2.42.1-1
webrtc-audio-processing 0.3.1-4
webrtc-audio-processing-1 1.3-2
wildmidi 0.4.5-2
wireplumber 0.4.15-1
woff2 1.0.2-4
wpa_supplicant 2:2.10-8
wpebackend-fdo 1.14.2-1
x264 3:0.164.r3108.31e19f9-1
x265 3.5-3
xcb-proto 1.16.0-1
xcb-util 0.4.1-1
xcb-util-image 0.4.1-2
xcb-util-keysyms 0.4.1-4
xcb-util-renderutil 0.3.10-1
xcb-util-wm 0.4.2-1
xdg-dbus-proxy 0.1.5-1
xdg-desktop-portal 1.18.0-2
xdg-desktop-portal-gnome 45.0-1
xdg-desktop-portal-gtk 1.14.1-3
xdg-user-dirs 0.18-1
xdg-user-dirs-gtk 0.11-2
xdg-utils 1.1.3+45+g301a1a4-1
xf86-input-libinput 1.4.0-1
xkeyboard-config 2.40-1
xorg-fonts-encodings 1.0.7-1
xorg-server 21.1.8-2
xorg-server-common 21.1.8-2
xorg-setxkbmap 1.3.4-1
xorg-xhost 1.0.9-1
xorg-xkbcomp 1.4.6-1
xorg-xmodmap 1.0.11-1
xorg-xprop 1.2.6-1
xorg-xrdb 1.2.2-1
xorg-xset 1.2.5-1
xorg-xwayland 23.2.1-1
xorgproto 2023.2-1
xvidcore 1.3.7-2
xz 5.4.4-1
yelp 42.2-2
yelp-xsl 42.1-1
zbar 0.23.90-3
zeromq 4.3.5-1
zimg 3.0.5-1
zlib 1:1.3-1
zstd 1.5.5-1
zvbi 0.2.42-1
zxing-cpp 2.1.0-1
